Species,Count
Bombus spp.,10
Bombus appositus,260
Bombus balteatus,55
Bombus bifarius,2870
Bombus borealis,1
Bombus californicus,104
Bombus caliginosus,75
Bombus centralis,663
Bombus fernaldae,91
Bombus fervidus,162
Bombus flavifrons,910
Bombus griseocollis,2042
Bombus huntii,577
Bombus insularis,288
Bombus jonellus,72
Bombus melanopygus,278
Bombus mixtus,945
Bombus moderatus,39
Bombus morrisoni,25
Bombus nevadensis,108
Bombus occidentalis,415
Bombus perplexus,12
Bombus rufocinctus,395
Bombus sitkensis,203
Bombus suckleyi,19
Bombus sylvicola,199
Bombus vagans,19
Bombus vandykei,44
Bombus vosnesenskii,959
